code,name,lat,lon,radius_m
90065,Glassell Park,34.109595,-118.228689,2086
90066,Mar Vista,34.002028,-118.430656,2014
90067,90067,34.057597,-118.413998,520
90068,90068,34.129772,-118.330989,2527
90069,90069,34.09383,-118.381698,1320
90071,90071,34.052876,-118.254943,318
90073,90073,34.054534,-118.457025,528
90077,90077,34.108023,-118.456964,2458
90079,90079,34.040587,-118.255404,90
90089,90089,34.020221,-118.286035,486
90090,90090,34.072854,-118.240922,440
90094,90094,33.975409,-118.417,709
90095,90095,34.071225,-118.443373,572
90201,90201,33.970343,-118.171368,2212
90210,90210,34.100517,-118.41463,2889
90211,90211,34.064958,-118.382979,759
90212,90212,34.06221,-118.401966,887
90220,90220,33.88151,-118.234451,2386
90221,90221,33.885639,-118.205808,2096
90222,90222,33.912246,-118.236773,1456
90230,90230,33.997862,-118.393617,1928
90232,Culver City,34.019323,-118.391902,1317
90240,90240,33.955729,-118.118346,1557
90241,90241,33.940445,-118.129022,2014
90242,90242,33.921793,-118.140588,1937
90245,90245,33.91714,-118.404267,2122
90247,90247,33.890853,-118.297967,1759
90248,90248,33.87834,-118.2841,1967
90249,90249,33.90139,-118.315697,1566
90250,90250,33.914775,-118.348083,2349
90254,90254,33.864259,-118.399303,1084
90255,90255,33.979248,-118.217438,1750
90260,90260,33.88856,-118.351813,1485
90262,90262,33.923533,-118.200705,1995
90263,90263,34.039034,-118.707992,431
90265,90265,34.066117,-118.846342,9426
90266,90266,33.889151,-118.402127,1800
90270,90270,33.987729,-118.186597,1020
90272,90272,34.092567,-118.534363,4338
90274,90274,33.77992,-118.370067,3151
90275,90275,33.753134,-118.367973,3338
90277,90277,33.830006,-118.387124,1717
90278,90278,33.873228,-118.370368,1724
90280,South Gate,33.944159,-118.192761,2454
90290,90290,34.107752,-118.616218,4065
90291,Venice,33.993396,-118.465193,1435
90292,90292,33.976373,-118.450888,1295
90293,90293,33.947305,-118.439841,1535
90301,90301,33.956526,-118.358653,1429
90302,90302,33.975332,-118.355252,1249
90303,90303,33.939766,-118.331085,1354
90304,90304,33.937886,-118.358559,1136
90305,90305,33.95889,-118.330548,1380
90401,Santa Monica,34.013666,-118.49375,836
90402,90402,34.034666,-118.504039,1285
90403,90403,34.030755,-118.492101,1085
90404,90404,34.026607,-118.47364,1281
90405,90405,34.011312,-118.469762,1476
90501,90501,33.833744,-118.314022,2160
90502,90502,33.833181,-118.292062,1357
90503,90503,33.839463,-118.353699,2091
90504,90504,33.867257,-118.330794,1916
90505,90505,33.807882,-118.347957,2173
90506,90506,33.884696,-118.329998,359
90601,90601,34.007937,-118.030324,3057
90602,90602,33.972782,-118.022066,1750
90603,90603,33.94539,-117.992488,1642
90604,90604,33.927691,-118.013828,1874
90605,90605,33.950295,-118.024352,2158
90606,90606,33.977272,-118.066363,1766
90620,90620,33.845223,-118.015292,2296
90621,90621,33.874224,-117.993368,1850
90623,90623,33.850616,-118.039565,1222
90630,90630,33.818477,-118.038307,2247
90631,90631,33.942708,-117.952483,3385
90638,La Mirada,33.902045,-118.008961,2546
90640,90640,34.015444,-118.111012,2645
90650,Norwalk,33.9076,-118.082645,2843
90660,90660,33.989524,-118.089295,2527
90670,90670,33.933565,-118.062611,2641
90680,90680,33.801122,-117.994911,1492
90701,90701,33.8676,-118.080612,1159
90703,90703,33.867745,-118.069471,2690
90704,90704,33.399325,-118.435329,7852
90706,90706,33.887821,-118.12725,2244
90710,90710,33.799904,-118.298661,1393
90712,90712,33.849034,-118.147902,1879
90713,90713,33.847988,-118.1126,1672
90715,90715,33.841027,-118.079141,1184
90716,90716,33.830482,-118.073451,876
90717,Lomita,33.793803,-118.317172,1277
90720,90720,33.795012,-118.062692,2246
90723,90723,33.898883,-118.166629,1965
90731,90731,33.736324,-118.279183,2825
90732,90732,33.74212,-118.312878,1680
90740,90740,33.759031,-118.067185,2690
90742,90742,33.720551,-118.076021,389
90743,90743,33.729202,-118.085043,261
90744,90744,33.779284,-118.261723,2634
90745,90745,33.822725,-118.264109,2616
90746,90746,33.859231,-118.252312,2192
90747,90747,33.8629,-118.251318,70
90755,90755,33.803461,-118.169735,1340
90802,90802,33.748896,-118.204017,2312
90803,Belmont Shore,33.756666,-118.131061,1823
90804,90804,33.781686,-118.148365,1320
90805,90805,33.864617,-118.180567,2464
90806,90806,33.805401,-118.187701,1684
90807,90807,33.82774,-118.17482,2194
90808,90808,33.823943,-118.111335,2380
90810,90810,33.819841,-118.222378,2349
90813,90813,33.782259,-118.196793,1626
90814,90814,33.771616,-118.143627,1056
90815,90815,33.794348,-118.116391,2423
90822,90822,33.778436,-118.118648,365
90831,90831,33.768334,-118.201636,183
91001,Altadena,34.194489,-118.138263,2608
91006,91006,34.136258,-118.026704,2282
91007,91007,34.128284,-118.047732,2140
91008,91008,34.153159,-117.968818,1292
91010,91010,34.141586,-117.957627,2409
91011,91011,34.222119,-118.205306,3126
91016,91016,34.1528,-118.000482,2645
91020,91020,34.21134,-118.230652,787
91024,91024,34.168771,-118.050216,1559
91030,91030,34.108957,-118.156615,1677
91040,91040,34.261962,-118.336078,2600
91042,91042,34.322618,-118.23757,6413
91046,91046,34.211452,-118.241035,90
91101,91101,34.146628,-118.139476,1047
91103,Northwest Pasadena,34.169538,-118.164941,2108
91104,Pasadena,34.165356,-118.123751,1771
91105,91105,34.13946,-118.166649,1744
91106,91106,34.139402,-118.128658,1558
91107,91107,34.155533,-118.086178,2604
91108,91108,34.122671,-118.112911,1772
91201,91201,34.17051,-118.289463,1392
91202,91202,34.168366,-118.267771,1300
91203,91203,34.153338,-118.262974,821
91204,91204,34.136194,-118.260934,962
91205,Glendale,34.13658,-118.245839,1248
91206,91206,34.160359,-118.213769,2202
91207,91207,34.183302,-118.264478,1934
91208,91208,34.185665,-118.239497,2385
91210,91210,34.144557,-118.256507,190
91214,91214,34.236302,-118.249185,2494
91301,91301,34.123286,-118.758541,5299
91302,Calabasas,34.122556,-118.669821,4692
91303,91303,34.198292,-118.600913,1335
91304,91304,34.224192,-118.632384,2784
91306,91306,34.209532,-118.577563,1847
91307,91307,34.200485,-118.664836,2577
91311,91311,34.292495,-118.602424,5142
91316,91316,34.160236,-118.515472,2031
91320,91320,34.175968,-118.945091,3877
91321,91321,34.368158,-118.48913,4619
91324,91324,34.238208,-118.55029,1902
91325,91325,34.237519,-118.517712,1994
91326,91326,34.281775,-118.555697,2593
91330,91330,34.247613,-118.526083,527
91331,91331,34.255442,-118.421314,2701
91335,91335,34.200175,-118.540958,2326
91340,91340,34.286687,-118.43508,1669
91342,91342,34.326584,-118.382261,6752
91343,91343,34.237912,-118.482306,2207
91344,Granada Hills,34.294615,-118.507001,3678
91345,91345,34.265879,-118.456748,1634
91350,91350,34.434623,-118.500092,3738
91351,91351,34.433727,-118.458061,2809
91352,91352,34.230854,-118.365856,3107
91354,91354,34.464816,-118.553871,2681
91355,91355,34.440082,-118.644055,3574
91356,91356,34.155097,-118.547553,2458
91360,91360,34.212718,-118.882132,3452
91361,91361,34.136003,-118.888634,5256
91362,91362,34.193336,-118.818692,4022
91364,91364,34.15478,-118.595091,2502
91367,91367,34.177311,-118.615704,2475
91371,91371,34.184518,-118.57644,449
91377,91377,34.184974,-118.766912,2088
91381,91381,34.384728,-118.647334,5568
91384,91384,34.506627,-118.699048,9460
91387,91387,34.402519,-118.363463,6389
91390,91390,34.545587,-118.420095,10862
91401,91401,34.178483,-118.431791,1686
91402,91402,34.222506,-118.444689,1752
91403,91403,34.147149,-118.463365,1730
91405,91405,34.199824,-118.447609,1651
91406,91406,34.197454,-118.488978,2589
91411,Van Nuys,34.178522,-118.459234,1297
91423,91423,34.148617,-118.433298,1896
91436,91436,34.149588,-118.489708,2166
91501,91501,34.2044,-118.287527,1809
91502,91502,34.176817,-118.309323,1052
91504,91504,34.204568,-118.326365,2017
91505,91505,34.173885,-118.346937,2038
91506,Burbank,34.171188,-118.323913,1420
91601,91601,34.1692,-118.372269,1478
91602,91602,34.150818,-118.368159,1299
91604,91604,34.140822,-118.392864,2060
91605,91605,34.207341,-118.400973,2122
91606,91606,34.185767,-118.388323,1657
91607,Valley Village,34.165783,-118.399795,1418
91608,91608,34.138735,-118.350857,702
91701,91701,34.137633,-117.600009,2451
91702,91702,34.280333,-117.866141,11815
91706,91706,34.09741,-117.968269,3328
91708,91708,33.952084,-117.639784,2797
91709,91709,33.964199,-117.737063,5308
91710,91710,34.004486,-117.684713,4213
91711,91711,34.128066,-117.714773,3516
91722,91722,34.097333,-117.906707,1845
91723,91723,34.084747,-117.886844,1384
91724,91724,34.080444,-117.854734,2267
91730,91730,34.101102,-117.578217,3455
91731,91731,34.078573,-118.043456,1773
91732,91732,34.07342,-118.015345,1950
91733,91733,34.045809,-118.053756,2346
91737,91737,34.152567,-117.577744,2626
91739,91739,34.172754,-117.521243,4923
91740,91740,34.119367,-117.855054,2026
91741,91741,34.156838,-117.841578,3496
91744,91744,34.0313,-117.936777,2691
91745,91745,33.999005,-117.972146,3249
91746,91746,34.044416,-117.985366,2143
91748,91748,33.974883,-117.900676,3453
91750,91750,34.178468,-117.774405,4562
91752,91752,33.996484,-117.531335,3527
91754,91754,34.052922,-118.143465,1933
91755,91755,34.050965,-118.114394,1600
91759,91759,34.263699,-117.699574,8233
91761,91761,34.035602,-117.591528,4902
91762,91762,34.05941,-117.674094,3353
91763,91763,34.072359,-117.698329,2066
91764,91764,34.074087,-117.605618,2574
91765,91765,33.98627,-117.821282,3949
91766,91766,34.042286,-117.756106,2895
91767,91767,34.083086,-117.737997,2151
91768,91768,34.063516,-117.790379,2671
91770,91770,34.065493,-118.084529,2301
91773,91773,34.110186,-117.81039,3434
91775,91775,34.115261,-118.088311,1590
91776,91776,34.090776,-118.095091,1675
91780,91780,34.102077,-118.057754,1776
91784,91784,34.141146,-117.655583,2755
91786,91786,34.105304,-117.662089,2716
91789,91789,34.018195,-117.854821,3589
91790,91790,34.066964,-117.937007,2181
91791,91791,34.061624,-117.892235,2339
91792,91792,34.024199,-117.89988,1778
91801,Alhambra,34.090727,-118.127525,1895
91803,91803,34.074736,-118.145959,1640
91901,91901,32.808563,-116.710076,8582
91902,91902,32.665762,-117.018657,2681
91905,91905,32.678648,-116.307485,7367
91906,91906,32.654814,-116.465544,9327
91910,91910,32.637882,-117.058047,3175
91911,91911,32.608185,-117.054512,3114
91913,91913,32.6201,-116.986899,2899
91914,91914,32.664699,-116.951905,2277
91915,91915,32.623185,-116.949053,2504
91916,91916,32.887994,-116.621349,5727
91917,91917,32.608746,-116.719819,5477
91931,91931,32.846363,-116.557729,3453
91932,91932,32.573755,-117.120872,1475
91934,91934,32.648992,-116.152565,6204
91935,91935,32.721918,-116.788204,8924
91941,91941,32.759266,-116.997091,2579
91942,91942,32.777999,-117.021511,2197
91945,91945,32.733168,-117.034176,1798
91948,91948,32.866646,-116.448325,4036
91950,91950,32.670646,-117.094668,2505
91962,91962,32.735124,-116.415129,6523
91963,91963,32.626189,-116.609973,5268
91977,91977,32.725963,-116.996552,2822
91978,91978,32.724154,-116.940093,2356
91980,91980,32.588861,-116.619149,1718
92003,92003,33.285274,-117.197777,3785
92004,92004,33.142077,-116.106046,23920
92007,92007,33.023046,-117.275581,1422
92008,92008,33.147294,-117.322181,2914
92009,92009,33.095482,-117.243884,3239
92010,92010,33.165381,-117.281427,2589
92011,92011,33.107582,-117.292182,2367
92014,92014,32.963232,-117.250367,2231
92019,92019,32.77987,-116.884422,4781
92020,92020,32.795512,-116.969758,3031
92021,92021,32.838798,-116.869956,4950
92024,92024,33.056022,-117.2599,3736
92025,92025,33.102005,-117.080419,4269
92026,92026,33.21244,-117.116093,5539
92027,92027,33.131601,-116.976937,7211
92028,92028,33.390477,-117.209427,8821
92029,92029,33.0824,-117.127641,4414
92036,92036,33.022474,-116.493688,12138
92037,92037,32.856347,-117.250058,3282
92040,92040,32.90891,-116.891972,7280
92054,92054,33.195534,-117.354538,3140
92055,92055,33.387695,-117.444794,9007
92056,92056,33.199582,-117.298764,3203
92057,92057,33.25462,-117.283311,3528
92058,92058,33.328839,-117.308054,4812
92059,92059,33.376472,-117.066136,4791
92060,92060,33.346808,-116.853215,7576
92061,92061,33.298525,-116.924781,5721
92064,92064,32.983606,-117.019035,5809
92065,92065,33.053006,-116.850651,11669
92066,92066,33.219365,-116.535247,4044
92067,92067,33.020908,-117.190346,4309
92069,92069,33.170776,-117.158675,3682
92070,92070,33.14709,-116.717453,10478
92071,92071,32.852358,-116.987842,3807
92075,92075,32.997248,-117.26058,1708
92078,92078,33.117065,-117.180807,3708
92081,92081,33.164335,-117.240292,2705
92082,92082,33.253513,-117.003382,10065
92083,92083,33.197856,-117.248146,2141
92084,92084,33.219887,-117.202822,4644
92086,92086,33.323221,-116.66593,13480
92091,92091,33.015918,-117.243635,733
92101,92101,32.724103,-117.170912,1971
92102,92102,32.716222,-117.11705,1955
92103,92103,32.747416,-117.166881,1762
92104,92104,32.741653,-117.128193,1766
92105,92105,32.737836,-117.092655,2143
92106,92106,32.711273,-117.237088,2159
92107,92107,32.739055,-117.245404,1608
92108,92108,32.773983,-117.142706,1905
92109,92109,32.786772,-117.234207,2502
92110,92110,32.765244,-117.200391,2002
92111,92111,32.806442,-117.168886,2641
92113,92113,32.696716,-117.117881,2083
92114,92114,32.707756,-117.055095,2606
92115,92115,32.764998,-117.073641,2315
92116,92116,32.764989,-117.122785,1682
92117,92117,32.824569,-117.199521,2691
92118,92118,32.698795,-117.20911,2535
92119,92119,32.817888,-117.031956,2375
92120,92120,32.794674,-117.071172,2361
92121,92121,32.899592,-117.201203,3178
92122,92122,32.861727,-117.171224,3625
92123,92123,32.806774,-117.134943,2597
92124,92124,32.826521,-117.086015,2954
92126,92126,32.908485,-117.141402,3225
92127,92127,33.020165,-117.123297,4265
92128,92128,32.999818,-117.071808,3036
92129,92129,32.964882,-117.126019,3404
92130,92130,32.947589,-117.207392,3901
92131,92131,32.886088,-117.086039,4557
92132,92132,32.713672,-117.172039,162
92134,92134,32.72418,-117.146658,385
92135,92135,32.693782,-117.194765,624
92139,92139,32.67991,-117.048885,1727
92140,92140,32.739496,-117.197401,731
92145,92145,32.930554,-117.008063,1661
92147,92147,32.725224,-117.218479,279
92154,92154,32.567022,-117.00425,5535
92155,92155,32.674956,-117.161766,430
92173,92173,32.553021,-117.042454,2040
92201,92201,33.710984,-116.204844,4321
92203,92203,33.753959,-116.246487,3799
92210,92210,33.703465,-116.325898,3280
92211,92211,33.765401,-116.334205,3523
92220,92220,33.948932,-116.832387,10119
92222,92222,32.785826,-114.545506,1141
92223,92223,33.948338,-116.988022,5983
92225,92225,33.736458,-114.687973,22222
92227,92227,32.990121,-115.358757,21120
92230,92230,33.910599,-116.765976,3551
92231,92231,32.687657,-115.541169,6848
92233,92233,33.172881,-115.553769,11144
92234,92234,33.818256,-116.466743,3601
92236,92236,33.686143,-116.172917,4247
92239,92239,33.762149,-115.4661,10873
92240,92240,33.95154,-116.520104,5491
92241,92241,33.842584,-116.2929,10671
92242,92242,34.163216,-114.319121,5092
92243,92243,32.770197,-115.59859,9532
92249,92249,32.72558,-115.472689,4204
92250,92250,32.777373,-115.127981,18488
92251,92251,32.881449,-115.675459,12825
92252,92252,34.168335,-116.28843,8609
92253,92253,33.646083,-116.275297,5370
92254,92254,33.543835,-115.993906,6204
92256,92256,34.07707,-116.606438,8027
92257,92257,33.294262,-115.296229,24763
92258,92258,33.915839,-116.559872,2952
92259,92259,32.73776,-115.932343,16341
92260,92260,33.708254,-116.403534,4838
92262,92262,33.860549,-116.56149,5499
92264,92264,33.712943,-116.497143,6555
92266,92266,33.345027,-114.915942,16388
92267,92267,34.273755,-114.196525,3665
92268,92268,34.221987,-116.564327,8155
92270,92270,33.768584,-116.429988,4689
92273,92273,32.817225,-115.700076,2398
92274,92274,33.460457,-116.084545,12143
92275,92275,33.273661,-115.878274,7176
92276,92276,33.82233,-116.364238,4916
92277,92277,34.179388,-115.635346,33912
92278,92278,34.229975,-116.055065,811
92280,92280,34.112956,-114.633391,11701
92281,92281,33.051757,-115.608752,3429
92282,92282,33.96548,-116.658716,7769
92283,92283,32.891546,-114.772943,24755
92284,92284,34.186172,-116.432488,9532
92285,92285,34.340223,-116.540437,11873
92301,92301,34.585234,-117.453927,11858
92304,92304,34.541483,-115.644609,5825
92305,92305,34.141671,-116.817981,9081
92307,92307,34.571231,-117.133092,11842
92308,92308,34.426726,-117.160931,8766
92309,92309,35.332155,-116.038586,11492
92310,92310,35.26146,-116.690324,1570
92311,92311,34.980294,-116.964449,14308
92313,92313,34.031002,-117.312929,1695
92314,92314,34.261092,-116.809496,5040
92315,92315,34.232796,-116.902863,3233
92316,92316,34.059093,-117.390659,3011
92320,92320,33.99047,-117.052101,2959
92321,92321,34.253816,-117.150891,2315
92322,92322,34.254348,-117.326463,1569
92324,92324,34.025689,-117.288795,4950
92325,92325,34.243482,-117.281304,2892
92327,92327,34.863585,-116.862059,4827
92328,92328,36.597808,-116.827404,24097
92332,92332,34.91246,-115.342099,27161
92333,92333,34.270601,-116.949309,1855
92335,92335,34.087181,-117.46545,3782
92336,92336,34.147718,-117.464506,4530
92337,92337,34.04981,-117.470609,3388
92338,92338,34.782898,-116.19049,14112
92339,92339,34.093661,-116.936222,2952
92341,92341,34.236643,-117.062838,2413
92342,92342,34.757047,-117.350142,9324
92344,92344,34.391145,-117.405723,5633
92345,92345,34.376319,-117.294397,8223
92346,92346,34.124199,-117.181054,4582
92347,92347,34.954459,-117.22234,11007
92352,92352,34.259971,-117.199381,2820
92354,92354,34.050788,-117.250153,2006
92356,92356,34.510646,-116.896718,18017
92358,92358,34.259272,-117.520971,4038
92359,92359,34.085289,-117.076311,3715
92363,92363,34.889225,-114.640587,12772
92364,92364,35.340446,-115.426225,20589
92365,92365,34.899991,-116.654532,11930
92368,92368,34.650629,-117.321326,4798
92371,92371,34.442643,-117.541814,10731
92372,92372,34.445607,-117.623563,4794
92373,92373,34.011953,-117.159699,5795
92374,92374,34.067146,-117.171885,3920
92376,92376,34.111605,-117.377406,3340
92377,92377,34.156043,-117.40412,2933
92378,92378,34.226083,-117.225931,826
92382,92382,34.205287,-117.117403,3525
92384,92384,36.007706,-116.178478,10744
92385,92385,34.214741,-117.192326,2633
92386,92386,34.237229,-116.827695,1257
92389,92389,35.900961,-116.186357,10655
92391,92391,34.237849,-117.234736,1383
92392,92392,34.480247,-117.408185,5547
92394,92394,34.556111,-117.353632,4746
92395,92395,34.501472,-117.292048,3790
92397,92397,34.374009,-117.628429,2920
92398,92398,34.915975,-116.865826,4807
92399,92399,34.032312,-117.010577,6612
92401,92401,34.104795,-117.292152,844
92404,92404,34.178337,-117.251458,4854
92405,92405,34.144626,-117.301302,1973
92407,92407,34.212326,-117.381183,7236
92408,92408,34.083619,-117.26846,2970
92410,92410,34.107394,-117.297541,2590
92411,92411,34.122501,-117.320138,1868
92501,92501,33.996523,-117.374179,2167
92503,92503,33.882584,-117.442292,4966
92504,92504,33.903134,-117.398044,4393
92505,92505,33.936319,-117.493743,3174
92506,92506,33.934328,-117.367312,3654
92507,92507,33.971006,-117.325181,4082
92508,92508,33.891154,-117.326751,2972
92509,92509,34.003266,-117.442004,5064
92518,92518,33.889184,-117.277729,3129
92530,92530,33.652315,-117.375512,6665
92532,92532,33.692684,-117.303172,3858
92536,92536,33.492391,-116.837955,10141
92539,92539,33.527867,-116.64762,10405
92543,92543,33.6673,-116.963506,3811
92544,92544,33.645934,-116.881628,10578
92545,92545,33.729684,-117.034166,5157
92548,92548,33.758663,-117.109481,2846
92549,92549,33.768539,-116.753396,4759
92551,92551,33.88274,-117.224878,2197
92553,92553,33.923376,-117.244816,2889
92555,92555,33.88971,-117.11343,8155
92557,92557,33.970193,-117.259385,3935
92561,92561,33.637201,-116.627212,11429
92562,92562,33.547613,-117.34404,9497
92563,92563,33.580016,-117.14736,4082
92567,92567,33.811126,-117.103494,4930
92570,92570,33.787292,-117.320673,8956
92571,92571,33.828396,-117.20766,4314
92582,92582,33.807607,-117.015163,3931
92583,92583,33.796905,-116.929217,4845
92584,92584,33.652776,-117.173581,4958
92585,92585,33.746695,-117.172135,4091
92586,92586,33.708981,-117.198853,2412
92587,92587,33.693929,-117.250504,2552
92590,92590,33.48294,-117.226084,6636
92591,92591,33.535237,-117.104864,3684
92592,92592,33.511228,-117.042396,8952
92595,92595,33.617835,-117.259307,4166
92596,92596,33.668913,-117.047314,7105
92602,92602,33.762876,-117.75648,2926
92603,92603,33.627548,-117.791737,3301
92604,92604,33.690689,-117.789137,1667
92606,92606,33.700173,-117.817499,1993
92610,92610,33.696173,-117.67604,2846
92612,92612,33.65844,-117.826009,2237
92614,92614,33.68021,-117.833355,1911
92617,92617,33.642508,-117.841681,1407
92618,92618,33.668172,-117.734156,4177
92620,92620,33.713382,-117.751242,2412
92624,92624,33.453208,-117.662612,1070
92625,92625,33.601966,-117.864254,1455
92626,92626,33.679591,-117.908531,2831
92627,92627,33.647763,-117.919761,2292
92629,92629,33.475061,-117.70563,2036
92630,92630,33.645736,-117.685503,2802
92637,92637,33.612058,-117.730319,1706
92646,92646,33.66205,-117.968459,2598
92647,92647,33.723228,-118.008692,2527
92648,92648,33.67901,-118.014603,2574
92649,92649,33.72524,-118.051579,2510
92651,92651,33.57148,-117.772889,4005
92653,92653,33.591216,-117.697621,2350
92655,92655,33.745132,-117.984871,721
92656,92656,33.576213,-117.730367,2604
92657,92657,33.595058,-117.829131,2468
92660,92660,33.634626,-117.874882,2838
92661,92661,33.603594,-117.912672,733
92662,92662,33.605086,-117.892319,414
92663,92663,33.623272,-117.933749,1651
92672,92672,33.424093,-117.606739,2560
92673,92673,33.466908,-117.614016,3091
92675,92675,33.502107,-117.604606,5365
92676,92676,33.749488,-117.616386,7398
92677,92677,33.528654,-117.701253,3710
92678,92678,33.685018,-117.529309,3525
92679,92679,33.633018,-117.590565,4323
92683,92683,33.752498,-117.993967,2871
92688,92688,33.619672,-117.612087,2990
92691,92691,33.611945,-117.665867,2693
92692,92692,33.606497,-117.643112,2849
92694,92694,33.547233,-117.623751,2797
92701,92701,33.748228,-117.85847,1641
92703,92703,33.748726,-117.906078,1845
92704,92704,33.721131,-117.90511,2488
92705,92705,33.765609,-117.790075,3086
92706,92706,33.765897,-117.882224,1707
92707,92707,33.709935,-117.870431,2031
92708,92708,33.710582,-117.951129,2746
92780,92780,33.733946,-117.819169,2404
92782,92782,33.739702,-117.784708,1665
92801,92801,33.844983,-117.952151,2274
92802,92802,33.808264,-117.923657,1936
92804,92804,33.818271,-117.975019,2403
92805,92805,33.83147,-117.905779,2281
92806,92806,33.83796,-117.870494,2528
92807,92807,33.848733,-117.788357,3023
92808,92808,33.856512,-117.740208,2048
92821,92821,33.927561,-117.887086,2950
92823,92823,33.928421,-117.809284,2967
92831,92831,33.879768,-117.896346,2219
92832,92832,33.868612,-117.929012,1520
92833,92833,33.879324,-117.961727,2456
92835,92835,33.901886,-117.916639,2228
92840,92840,33.787165,-117.931889,2070
92841,92841,33.78686,-117.981996,1920
92843,92843,33.763931,-117.93145,1791
92844,92844,33.765465,-117.969464,1322
92845,92845,33.783112,-118.026282,1339
92860,92860,33.925519,-117.551958,3397
92861,92861,33.817283,-117.811184,1316
92865,92865,33.826393,-117.851307,1771
92866,92866,33.784615,-117.844775,1262
92867,92867,33.80098,-117.843772,2560
92868,92868,33.788092,-117.876298,1658
92869,92869,33.80845,-117.791737,2762
92870,92870,33.881158,-117.854783,2363
92879,92879,33.882614,-117.528205,2877
92880,92880,33.92539,-117.607254,4527
92881,92881,33.827409,-117.524128,4774
92882,92882,33.844134,-117.60867,4606
92883,92883,33.748086,-117.468037,6775
92886,92886,33.896324,-117.796561,3506
92887,92887,33.884701,-117.731287,2805
93001,93001,34.058607,-119.92912,13005
93003,93003,34.283668,-119.223196,4118
93004,93004,34.278679,-119.165615,2409
93010,93010,34.227888,-119.079553,4271
93012,93012,34.196026,-118.992531,6592
93013,93013,34.440133,-119.503306,6851
93015,93015,34.4041,-118.897777,7944
93021,93021,34.303596,-118.889583,6225
93022,93022,34.40778,-119.306554,1951
93023,93023,34.529879,-119.310238,14923
93030,93030,34.205336,-119.174835,3399
93033,93033,34.150203,-119.127727,4915
93035,93035,34.18165,-119.223902,1828
93036,93036,34.237254,-119.184449,3586
93040,93040,34.473884,-118.797181,7628
93041,93041,34.106028,-119.098081,3025
93042,93042,33.255655,-119.503588,4320
93043,93043,34.170854,-119.202409,630
93060,93060,34.402197,-119.094893,9901
93063,93063,34.308048,-118.686969,5213
93064,93064,34.247553,-118.700943,2162
93065,93065,34.258405,-118.775026,5109
93066,93066,34.297699,-119.014558,5854
93067,93067,34.421964,-119.593483,696
93101,93101,34.418979,-119.709167,1681
93103,93103,34.437367,-119.679284,2078
93105,93105,34.533222,-119.791731,8948
93108,93108,34.448024,-119.616984,4180
93109,93109,34.406408,-119.726927,1670
93110,93110,34.446201,-119.762794,2948
93111,93111,34.449185,-119.804782,2585
93117,93117,34.479453,-120.084094,11841
93201,93201,35.856859,-119.507526,7984
93202,93202,36.313457,-119.708326,808
93203,93203,35.112617,-118.832292,13305
93204,93204,35.889885,-120.06859,7010
93205,93205,35.518295,-118.430032,6890
93206,93206,35.437302,-119.477735,11103
93207,93207,35.895294,-118.595627,6918
93208,93208,36.056587,-118.568462,6971
93210,93210,36.216313,-120.424244,25221
93212,93212,36.042151,-119.5277,9351
93215,93215,35.779507,-119.200825,10816
93218,93218,35.857141,-119.04493,7287
93219,93219,35.873666,-119.281551,8955
